,projectsID,status,percentMapped,percentValidated,organisationName,lastUpdated,projectsID,date
1,1193,ARCHIVED,100,86,YouthMappers,2021-09-27T20:55:55.970500Z,1193,2015-09-15
2,1957,ARCHIVED,67,37,YouthMappers,2022-02-17T17:59:29.307755Z,1957,2016-06-02
3,2727,ARCHIVED,85,17,YouthMappers,2021-05-05T13:11:47.369231Z,2727,2017-03-27
4,2728,ARCHIVED,92,57,YouthMappers,2021-05-05T13:12:31.875612Z,2728,2017-03-27
5,2742,ARCHIVED,100,100,YouthMappers,2021-05-05T13:14:28.369353Z,2742,2017-03-30
6,3713,ARCHIVED,91,41,YouthMappers,2021-08-12T22:06:43.638639Z,3713,2017-10-12
7,3717,ARCHIVED,100,33,YouthMappers,2021-08-12T22:05:56.394977Z,3717,2017-10-14
8,3859,ARCHIVED,93,57,YouthMappers,2021-04-18T17:32:10.147682Z,3859,2017-11-19
9,4147,ARCHIVED,44,0,YouthMappers,2018-05-16T18:36:32.619567Z,4147,2018-02-05
77,4395,ARCHIVED,99,94,YouthMappers,2022-03-21T08:56:15.771613Z,4395,2018-04-04
10,4689,ARCHIVED,100,100,YouthMappers,2022-01-30T21:09:59.519802Z,4689,2018-06-05
11,4938,ARCHIVED,75,32,YouthMappers,2022-04-24T18:00:48.010637Z,4938,2018-07-31
12,5241,ARCHIVED,90,60,YouthMappers,2022-02-09T01:52:28.801180Z,5241,2018-09-14
78,5323,ARCHIVED,99,99,YouthMappers,2019-08-05T02:15:28.414980Z,5323,2018-10-03
79,5348,ARCHIVED,100,100,YouthMappers,2020-11-25T12:05:04.034837Z,5348,2018-10-11
13,5436,ARCHIVED,1,0,YouthMappers,2018-11-08T19:54:28.394355Z,5436,2018-11-06
80,5435,ARCHIVED,100,100,YouthMappers,2021-05-05T13:21:51.884909Z,5435,2018-11-06
14,5448,ARCHIVED,100,1,YouthMappers,2021-11-25T12:40:36.754900Z,5448,2018-11-08
15,5450,ARCHIVED,88,32,YouthMappers,2022-02-24T18:22:26.690742Z,5450,2018-11-08
18,5460,ARCHIVED,16,1,YouthMappers,2022-02-25T13:59:54.535947Z,5460,2018-11-09
19,5462,ARCHIVED,30,0,YouthMappers,2022-03-23T14:00:53.087044Z,5462,2018-11-09
20,5463,ARCHIVED,18,1,YouthMappers,2022-01-28T08:47:10.958585Z,5463,2018-11-09
21,5464,ARCHIVED,17,0,YouthMappers,2022-03-04T08:42:28.915775Z,5464,2018-11-09
22,5465,ARCHIVED,37,0,YouthMappers,2021-11-23T15:50:03.677016Z,5465,2018-11-09
81,5461,ARCHIVED,100,100,YouthMappers,2021-04-09T22:54:51.666883Z,5461,2018-11-09
16,5458,ARCHIVED,79,3,YouthMappers,2022-04-29T08:52:04.725578Z,5458,2018-11-09
17,5459,ARCHIVED,9,7,YouthMappers,2022-03-14T07:31:21.468919Z,5459,2018-11-09
24,5483,ARCHIVED,19,0,YouthMappers,2022-05-31T19:36:03.007019Z,5483,2018-11-13
23,5482,ARCHIVED,39,36,YouthMappers,2022-03-11T08:21:16.606457Z,5482,2018-11-13
82,5489,ARCHIVED,51,3,YouthMappers,2019-09-05T18:52:13.018396Z,5489,2018-11-14
83,5509,ARCHIVED,99,98,YouthMappers,2021-06-15T15:17:54.043004Z,5509,2018-11-19
25,5752,ARCHIVED,46,6,YouthMappers,2021-10-10T21:54:27.318126Z,5752,2019-02-14
26,5808,ARCHIVED,100,31,YouthMappers,2021-11-04T17:55:00.689402Z,5808,2019-03-07
84,5821,ARCHIVED,100,100,YouthMappers,2021-05-17T18:09:41.616385Z,5821,2019-03-13
27,6124,ARCHIVED,91,78,YouthMappers,2022-02-12T20:27:39.316362Z,6124,2019-06-08
28,6127,ARCHIVED,100,100,YouthMappers,2020-04-30T17:27:34.824382Z,6127,2019-06-10
85,6133,ARCHIVED,4,0,YouthMappers,2020-04-14T19:05:31.812164Z,6133,2019-06-11
29,6256,ARCHIVED,100,100,YouthMappers,2021-05-05T13:23:34.282490Z,6256,2019-07-11
86,6358,ARCHIVED,100,98,YouthMappers,2022-05-29T15:14:57.646249Z,6358,2019-08-05
30,6359,ARCHIVED,100,33,YouthMappers,2021-12-27T13:21:16.085668Z,6359,2019-08-06
